合约,日期,前收盘,开盘价,最高价,最低价,收盘价,成交量,成交金额,涨跌(收盘价),涨跌幅(收盘价),持仓量,前结算,结算价,涨跌(结算价),涨跌幅(结算价),MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,持仓量变化,资金变动,价格变动贡献度,分类
RU,20161018,-6.672973443891031,-6.638417896790358,-6.869792874755895,-6.531515318034629,-6.5982590810376465,552662,7877125.47,-25,-0.5448506383480378,303908,-6.540615620224536,-6.730669006330096,-115,-8.102272923193667,-16.712065367362044,-17.3058993602395,-17.907950554703675,-18.77346503130466,-19.092465171694236,-20.15825216239518,-8.761420918902843,-7.161299970428381,-0.0017433751743375174,1.0
RU,20161019,-6.604015320668239,-6.586896828423271,-6.89548971874143,-7.433323832642955,-7.596542874091163,785038,10966444.2,-490,-25.249928118905903,273668,-6.739304132554373,-7.222345715206799,-285,-20.06830184035,-16.850112412638502,-17.255135216142882,-17.79037999745814,-18.6941900813302,-19.065808107286742,-20.08514069664826,-34.14175715395194,-28.371850367788625,-0.03561046511627907,0.0
RU,20161020,-7.6018365514240855,-7.555235809439921,-7.682058061313981,-7.234202799653154,-7.536432928076877,514844,7106389.37,-170,-9.18941201234226,271978,-7.230961851996085,-7.506493973604897,-165,-12.047882582024016,-16.92843990718272,-17.175616144029796,-17.67645780566113,-18.60756748279799,-19.03592231292864,-20.015749528422432,-1.8113562446990414,-1.3801934122586275,-0.012323305545487495,1.0
RU,20161021,-7.541754500199573,-7.5124807622841345,-7.8100217372403336,-7.701403795222305,-7.76818775939914,549628,7484171.89,-140,-7.413803242489877,258288,-7.515098519457041,-7.824620604525336,-185,-13.661255986661658,-17.17537512823023,-17.107133082699526,-17.581420034811465,-18.51710481511173,-19.01035195295247,-19.952739916819993,-17.247971997616737,-13.579740404085918,-0.010248901903367497,0.0
RU,20161024,-7.773401757187685,-7.666357212634537,-7.477148059787517,-7.329457913174053,-7.347402456891942,535214,7414833.59,290,17.734142493443102,261294,-7.833211636553166,-7.420428910363107,235,18.20607357719267,-17.309882661820588,-17.095252188737838,-17.50585758615231,-18.430585079943533,-18.97035056221739,-19.88785142450245,4.444657557417322,3.576020464288007,0.020855807263574253,1.0
RU,20161025,-7.352811718925395,-7.28145201186711,-6.981124726103822,-6.913492789001893,-7.2098194063249466,642340,9073225.26,135,8.809538285881636,259938,-7.4290370147057985,-6.946449677412083,275,20.647248301907837,-17.43075271701558,-17.132656867562147,-17.44158631279445,-18.340306628427612,-18.931597652156817,-19.814715755887605,-1.3660558755431467,-1.0489024758923762,0.009653199856989631,1.0
RU,20161026,-7.215292459912568,-7.127293474054198,-7.391708908143116,-7.476586124008776,-7.149599143353939,717604,9925497.14,-105,-5.268834431184153,257720,-6.955076636179783,-7.45485920184683,-295,-20.887893701298268,-17.34242462915646,-17.157306025470305,-17.374324079326065,-18.258111364746384,-18.871847412821154,-19.7336551428953,-2.5148214754994314,-1.9726855542236166,-0.007489300998573466,1.0
RU,20161027,-7.155100109596731,-7.18725707319863,-7.075285307038698,-7.095574748338727,-6.917166227732615,852286,11990708.9,325,19.164689283159078,262008,-7.4634658875967546,-7.049951185576056,235,17.948846966730343,-17.219980102057747,-17.135207331443787,-17.316679808721474,-18.168732257528774,-18.801961941785017,-19.647806344876358,6.140021452538832,5.007573834525189,0.022960084775697633,1.0
RU,20161028,-6.922774874769864,-6.827231344196768,-6.78411578556797,-6.661805275449993,-6.917166227732615,754884,10714460.0,90,6.10143001846091,248932,-7.058574134404061,-6.834269189962605,125,9.823779854579364,-17.05159858249015,-17.174356842209974,-17.26536394862851,-18.08297544837329,-18.735679080715364,-19.562893134873427,-16.503168863072858,-13.442302217810955,0.006358177322500883,1.0
RU,20161031,-6.922774874769864,-6.852966651918557,-6.921183644037676,-6.82673516774048,-6.796550530649689,668728,9477137.19,35,2.9256039275330963,249238,-6.84290042730558,-6.868792177522529,-20,-1.097425824298071,-16.942539420830634,-17.187120798484685,-17.199620118800496,-18.00051478049867,-18.653531774744096,-19.478013407472943,0.8512186382335329,0.7275679924122613,0.002460456942003515,1.0
